ADDRESS OCCURENCE
4195404-107160256 782764 
107160256-214320512 1 
214320512-321480768 134008 
321480768-428641024 10 
428641024-535801280 14 
535801280-642961536 10 
642961536-750121792 10 
750121792-857282048 10 
857282048-964442304 18 
964442304-1071602560 18 
1071602560-1178762816 8 
1178762816-1285923072 12 
1285923072-1393083328 8 
1393083328-1500243584 12 
1500243584-1607403840 8 
1607403840-1714564096 8 
1714564096-1821724352 14 
1821724352-1928884608 20 
1928884608-2036044864 6 
2036044864-2143205120 28 
